LINEAGE	WHO_LABEL	CONTRIBUTING_LINEAGES	COLOR	variant_category
BA.2	Omikron	BA.2.3.19	#F1CE61	VOC
BA.2	Omikron	BA.2.3.2	#F1CE61	VOC
BA.2	Omikron	BA.2.3.20	#F1CE61	VOC
BA.2	Omikron	BA.2.3.21	#F1CE61	VOC
BA.2	Omikron	BA.2.3.22	#F1CE61	VOC
BA.2	Omikron	BA.2.3.4	#F1CE61	VOC
BA.2	Omikron	BA.2.3.5	#F1CE61	VOC
BA.2	Omikron	BA.2.3.6	#F1CE61	VOC
BA.2	Omikron	BA.2.3.7	#F1CE61	VOC
BA.2	Omikron	BA.2.3.8	#F1CE61	VOC
BA.2	Omikron	BA.2.3.9	#F1CE61	VOC
BA.2	Omikron	BA.2.30	#F1CE61	VOC
BA.2	Omikron	BA.2.31	#F1CE61	VOC
BA.2	Omikron	BA.2.31.1	#F1CE61	VOC
BA.2	Omikron	BA.2.32	#F1CE61	VOC
BA.2	Omikron	BA.2.33	#F1CE61	VOC
BA.2	Omikron	BA.2.34	#F1CE61	VOC
BA.2	Omikron	BA.2.35	#F1CE61	VOC
BA.2	Omikron	BA.2.36	#F1CE61	VOC
BA.2	Omikron	BA.2.37	#F1CE61	VOC
BA.2	Omikron	BA.2.38	#F1CE61	VOC
BA.2	Omikron	BA.2.38.1	#F1CE61	VOC
BA.2	Omikron	BA.2.38.2	#F1CE61	VOC
BA.2	Omikron	BA.2.38.3	#F1CE61	VOC
BA.2	Omikron	BA.2.38.4	#F1CE61	VOC
BA.2	Omikron	BA.2.39	#F1CE61	VOC
BA.2	Omikron	BA.2.4	#F1CE61	VOC
BA.2	Omikron	BA.2.40	#F1CE61	VOC
BA.2	Omikron	BA.2.40.1	#F1CE61	VOC
BA.2	Omikron	BA.2.41	#F1CE61	VOC
BA.2	Omikron	BA.2.42	#F1CE61	VOC
BA.2	Omikron	BA.2.43	#F1CE61	VOC
BA.2	Omikron	BA.2.44	#F1CE61	VOC
BA.2	Omikron	BA.2.45	#F1CE61	VOC
BA.2	Omikron	BA.2.46	#F1CE61	VOC
BA.2	Omikron	BA.2.47	#F1CE61	VOC
BA.2	Omikron	BA.2.48	#F1CE61	VOC
BA.2	Omikron	BA.2.49	#F1CE61	VOC
BA.2	Omikron	BA.2.5	#F1CE61	VOC
BA.2	Omikron	BA.2.50	#F1CE61	VOC
BA.2	Omikron	BA.2.51	#F1CE61	VOC
BA.2	Omikron	BA.2.52	#F1CE61	VOC
BA.2	Omikron	BA.2.53	#F1CE61	VOC
BA.2	Omikron	BA.2.54	#F1CE61	VOC
BA.2	Omikron	BA.2.55	#F1CE61	VOC
BA.2	Omikron	BA.2.56	#F1CE61	VOC
BA.2	Omikron	BA.2.56.1	#F1CE61	VOC
BA.2	Omikron	BA.2.57	#F1CE61	VOC
BA.2	Omikron	BA.2.58	#F1CE61	VOC
BA.2	Omikron	BA.2.59	#F1CE61	VOC
BA.2	Omikron	BA.2.6	#F1CE61	VOC
BA.2	Omikron	BA.2.60	#F1CE61	VOC
BA.2	Omikron	BA.2.61	#F1CE61	VOC
BA.2	Omikron	BA.2.62	#F1CE61	VOC
